Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,35737,Sæterosen,,,,Ja,Nei,1813,BRØNNØY,18,Nordland,65.44133,12.44435,0.5,,,8,Helgeland til Bodø
49,2025,13032,Sølvøyane,,,,Ja,Nei,4613,BØMLO,46,Vestland,59.609516,5.133367,0.5,,,3,Karmøy til Sotra
49,2025,38297,Sør Gåsvær,0.9,2.02,0.33,Nei,Ja,1818,HERØY I NORDLAND,18,Nordland,66.03118,12.02305,0.5,Ja,8.69,8,Helgeland til Bodø
49,2025,15456,Søreide,0.36,2.44,0.62,Nei,Ja,4638,HØYANGER,46,Vestland,61.1056,5.8536,0.5,Nei,10.8,4,Nordhordaland til Stadt
49,2025,23375,Sørevik,0.28,1.43,0.35,Nei,Ja,4638,HØYANGER,46,Vestland,61.099983,5.729967,0.5,Nei,10.41,4,Nordhordaland til Stadt
49,2025,13936,Sørvika,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.471535,15.212717,0.5,,,9,Vestfjorden og Vesterålen
49,2025,36017,Sørværet,0.15,2.2,0,Nei,Ja,1818,HERØY I NORDLAND,18,Nordland,65.88035,11.93045,0.5,Nei,8.54,8,Helgeland til Bodø
49,2025,15375,Sørøyflesa,0.25,1.1,0.08,Nei,Ja,5014,FRØYA,50,Trøndelag,63.98405,9.057067,0.5,Nei,9.39,6,Nordmøre og Sør-Trøndelag
49,2025,38697,Takflua,0.1,0.25,0,Nei,Ja,5058,ÅFJORD,50,Trøndelag,63.980667,9.868733,0.5,Nei,7.84,6,Nordmøre og Sør-Trøndelag
49,2025,45262,Taregga Øst,,,,Ja,Nei,5060,NÆRØYSUND,50,Trøndelag,65.0411,11.215917,0.5,,,7,Nord-Trøndelag med Bindal
49,2025,45141,Tednevik,,,,Ja,Nei,1151,UTSIRA,11,Rogaland,59.3095,4.919617,0.5,,,3,Karmøy til Sotra
49,2025,26575,Teigane,0,0.13,0.02,Nei,Ja,1134,SULDAL,11,Rogaland,59.520332,6.337233,0.5,Nei,9.16,2,Ryfylke
49,2025,13057,Teigland I,0.13,0.44,0.02,Nei,Ja,4622,KVAM,46,Vestland,60.17935,5.959917,0.5,Nei,9.36,3,Karmøy til Sotra
49,2025,29776,Teksmona,0.03,0.14,0,Nei,Ja,1837,MELØY,18,Nordland,66.868416,13.601383,0.5,Nei,7.5,8,Helgeland til Bodø
49,2025,21755,Tendalsvik,0.01,1.28,0.12,Nei,Ja,4611,ETNE,46,Vestland,59.736465,5.885317,0.5,Nei,11.2,3,Karmøy til Sotra
49,2025,12449,Tennøya,0.4,1.21,0.13,Nei,Ja,5014,FRØYA,50,Trøndelag,63.805035,8.4444,0.5,Nei,9.86,6,Nordmøre og Sør-Trøndelag
49,2025,13644,Tepstad,,,,Ja,Nei,4630,OSTERØY,46,Vestland,60.5549,5.381767,0.5,,,4,Nordhordaland til Stadt
49,2025,12662,Ternskjæret II,0.37,0.5,0.06,Nei,Ja,5007,NAMSOS,50,Trøndelag,64.77713,11.639767,0.5,Nei,8.16,7,Nord-Trøndelag med Bindal
